BLR,[MTA MIB] The default value of MIB ietfPktcSigDevCidMode is dtAsETS
QA6,[mso] Unable to configure "Public Wi-Fi Network & HS Port Forwarding" settings in GUI  
QA4,[BSoD]The modem doesn't report eSAFE Host Capability TLV5.18 to CMTS in a Registration Request message.
QA6,[RDKB][Puma7][MoCA]MoCA privacy can't be enabled/disabled and MoCA password can't be configured via GUI
QA2,[CT][Security][DDoS] SNMP has no response when wan0 under DS direction IPv4 flooding attack
QA3&7,"[RDKB]Failed to set 5G WiFi operation mode to a,n, error code 9007 return"
QA3&7,[RDKB][LG][ATM] TG3492LG dose not support STA weight on load AR01.01.92.01
QA3&7,[IOT][TG2482] The modem encountered a exception after IOT testing was finished.
QA4,[Golden_Frequency] Need to give a way to update the list of golden frequencies  through a device software upgrade or via SNMP/TR-069.
BLR,"[puma7][ring waveform]:set the ring waveform(arrisMtaDevEndPntRingingWaveform.1) to sinusoidal via mta cfg, after remove this setting in mta cfg, modem's behavior is different between reset MTA and reset whole modem."
QA6,[Puma7] Wrong value of Device.RouterAdvertisement.InterfaceSetting.1.Interface
QA6, Parameter "Device.DHCPv6.Server.Pool.{i}.Client.{i}.IPv6Address.{i}.IPAddress" not update after change CPE ip address via change DHCPv6 pool.
QA3&7,[RDKB][LG][ATM] TG3492LG dose not support ATM Distribution Type on load AR01.01.92.01
BLR,"[Germany]: In 3WC call scenario, off hook warning tone ID is observed, after RingBack tone is stopped."
QA6,[Puma7][GW] eRouter0 doesn't have IP address after leaving the modem two days and do nothing
QA2,[TW][Security][DDoS] DS TCP throughput declined when MTA is under DS direction IPv4 flooding attack
QA6, "YES & NO" button is misaligned in GUI under "Parental Control > Managed Sites/Services > Trusted Computers
QA6,[34xx][Puma7] Wrong value of Device.RouterAdvertisement.InterfaceSetting.1.Prefixes
QA2,[Security]UDP port 4567 is open on 192.168.100.3
QA6,[TWC][Puma6][TR181]The Functions of Advanced Firewall doesn't work when setting via TR181
QA6, :- Hub 3.0 status overview > Internet icon shows "Access Denied" when DUT is in modem mode
QA6,Unable to enable MOCA via LAN side login
QA3&7,[PUMA6][HNC][MTK] Modem failed to auto config 5 AM525
QA4,[RDKB][KDG] TG3442DE is failed to upgrade to AR01.01.092_010818_70.PC20.10.VKD.7.EU.img when using docsis 3.1 cm config
QA3&7,[RDKB] WiFi RF coverage of RDKB modem is worse than that of DG3260 with TS9.1.103v
QA3&7,[Haleakala][Hotspot] Internal error occurred when restore GW to factory defaults
QA4,[PNM] Mib docsPnmBulkFileControl can be setted to "deleteFile" when an upload is in progress.
QA6,[Puma7] Sometimes it will return "9002 Internal error" when GPV "Device.".
QA3&7,[TW]Defaults values for arrisRouterBssNetworkIsolate and arrisRouterBssSecurityMode are different with compliance document
BLR,"In policy 3, loop voltage is still ON after maintain timer expires, (if reset timer is not 0), before MTA is successfully provisioned, follows a soft reset."
QA2,[Security]TCP port 8080 is open on GW LAN IPv4 interface
QA6,Clone 41609 to AR01.01.092.X: [Puma7]The WebGUI format will change from VM's to UPC's automatically after login WebGUI.
QA3&7,[RDKB][LG][ATM] TG3492LG does not support ATM Traffic Direction and ATM Application on load AR01.01.92.01
QA6,[CT][UPnP] The value of Cache-control_max-age in HTTP1.1 200ok that sent from GW doesn¡¯t conform to GUI>Advanced>Device discovery>Advertisement period.
QA4,WiFi LED is Blink Green color when both 2.4G and 5G home private SSID is disabled
QA6,[Multi-Language]The translation of "usersLoggedIn" is not consistent with <DOCSIS 3.1 DE - Gateway Lanuguage - Version 13>
QA3&7,[TG1682G/TW] The 2.4G SSID can't be scanned with advanced feature enabled in IOT environment.
QA6,[Puma7] Device.ManagementServer.ConnectionRequestURL in inform packet and rdkbTR069ClientConnReqUrl.0 should be IPv6 address when TR69 work over IPv6
QA6,[Multi-Language]The translation of "footerAFTRAddress" and "footerIPv4Address" are not consistent with <DOCSIS 3.1 DE - Gateway Lanuguage - Version 13>
QA6, : User is able to enter invalid characters for device name > MAC Filtering.
QA2,[CT][Security][DDoS] WebGUI is not accessible when wan0 is under DS direction UDP flooding attack
QA6,"[RDKB][34XX] when DNS relay disabled, gateway still forward/response DNS query send to 192.168.0.1"
QA3&7,[TWC][Puma6]The "arrisRouterBssActive.10103 and 10104" will be disabled automatically after DUT switch to the  secondary ipv4/ipv6 GRE tunnel.
QA6,Some parameters are not listed in ACS server
QA6, Some parameter value in Device.MoCA.Interface.{i}.AssociatedDevice.{i}. is different from MIB
QA6,Device.WiFi.AccessPoint.{I}.AssociatedDevice.{1}.LastDataUplinkRate always display 0 when wifi station connect to DUT via 2.4g.
BLR,"[DST]: without unrelated CIDDis MIBs in MTA cfg file, MTA cannot display Daylight Saving Timezone time in CallerID."
QA3&7,[MTK][Band Steering]Sometimes dual band client can NOT be steered to 2.4G from 5G when 5G RSSI < RssiLow-delta.
QA3&7,[Haleakala][Hotspot] Hotspot didn't work well if hotspot subnet is changed from routedNAT to passThru
QA6, : ¡°Refresh¡± button is not working on MAC Filtering page.
QA2,[CT][Security][DDoS] TR69 CWMP port 7547 is filtered on erouter0 when erouter0 is under DS direction IPv4 flooding attack
QA6,[Puma7]It shouldn't send "DHCP Discover" packet when the gateway perform DHCPv4 Renew via tr69.
QA4,[10k]Modem run into error state and cannot enter PSM 1x1 mode anymore
QA4,The modem downgrade/upgrade failed if set arrisCmDoc30SetupTftpBlkSize to 60000 CM configuration file.
QA3&7,"Clone 41488 to AR01.01.092.X:  : Wi-Fi Security is disabled by default, expected WPA-PSK/WPA2-PSK."
QA6,[KDG][PUMA7]Walk arrisRouterMib failed at arrisRouterWifiEventLogInfo.51.
QA2,[Security]TCP port 49155 is open on GW LAN IPv4
QA3&7,[RDKB][LG][ATM][Veriwave] BSS weight doesn't work
QA2,[CT][Security][DDoS] Voice call is impacted when MTA is under DS direction UDP flooding attack
QA2,[PUMA7][Auto Download] LAN to WAN IPv4 traffic is not working after downgrading from AR01.01.090 simg to an old load
QA6,[RDKB][MIB] It failed to set arrisRouterRDKIpv4LanClientStaticMAC via mib browser
BLR,[PC20] The mib pktcSigEndPntConfigMaxHookFlash and pktcSigEndPntConfigMinHookFlash couldn't be wrote.
QA6,"when configure arrisTR69ValidateManagementServerCertificate in CM config file, the MIB can Not persist after CM reboot."
QA2,[Security]: Telnet\SSH accessible in production builds
QA3&7,[RDKB] Some devices can't to connect to 5G SSID on TG3452.
QA3&7,[RDKB][LG][ATM] TG3492LG dose not support ATM Monitoring (Event Logs) on load AR01.01.92.01
QA6,"[RDKB][Puma7][MoCA]If configure mocaIfPassword.40 via SNMP/cm config file, mocaIfPrivacyEnable.40 is changed into ""true"" automatically"
QA6,[Puma7][KDG]TR069 turn to abnormal after setting GW provision mode to dual-stack via TLV202.1.
QA6,"[Language][German]When testing Open the GUI as a CSR user from WAN side, can't open https://CM IP:8443. "
QA2,[TW][Security][DDoS] WAN host is not pingable from LAN endpoint when modem is under DS direction IPv4 flooding attack
QA6, Port Mapping function not work when setting parameter "Device.NAT.PortMapping.1.ExternalPort" value to 0 
QA6, Some texts and WiFi page layout are misaligned in GUI
QA6,[LGI][all] String "bi_04" and "bi_02" are not displayed as per the  jason file
QA2,[TW][Security][DDoS] "Kernel panic - not syncing: Out of memory" is logged followed by unexpected reboot when MTA is under DS direction IPv4 flooding attack
QA4,[NBN][CM8200 P1 and P2][NBN-Perf007] Upstream drops to 100Mbps from 208Mbps intermittently
QA2,[TW][Security][DDoS] Bulk call is impacted when MTA is under DS direction IPv4 flooding attack
QA6,"[Puma7]When ACSOverride is 0, the modem can't establish with the ACS after change the acs url via tr69 and reboot the modem."
QA6,[LGI][PUMA7][MIB] "Generic error" returns when set DNS server ip via MIB rdkbRgIpMgmtDnsServerIp.
QA6,[DSLite]The IPv4 traceroute with domain name is failed when DSLite is enabled.
QA6,USB page not loading
QA6,[Puma7] IPv4 IP Filter function is failed when "SrcPortStart" and "SrcPortEnd" set to "All".
QA4,The CM can come online with OFDM as the "primary channel" but can't be channel bonding with the other Euro SC-QAM channels on the CISCO CBR8.
QA3&7,[Haleakala][Hotspot]] "Segmentation fault" found in ARM debugport
QA6,[TG3492-216] : User is not able to delete the MAC Filtering rules.
QA3&7,[RDKB][WPS] "Segmentation fault" found in ATOM debugport during WPS testing
QA6,[Vodafone]Parameters in the Status&Support->Diagnostic Tools page are not persistent over reboot
QA6,"[Vodafone]Interoperability with web browsers : Internet Explorer,Safari,Edge and Samsung Internet has some issues."
QA6,[Stress] The connection of CPE will loss after long time data traffic with the phone call
QA6,[Puma7][GW] Ethernet CPE cannot access wan when change modem ethernet port's speed and duplex without reconnecting ethernet link
QA6,[Multi-Language]The translation of "WeakPassword" is not consistent with <DOCSIS 3.1 DE - Gateway Lanuguage - Version 13> in German
QA3&7,[Haleakala]WMM Power Save mode doesn't work as expected.
QA2,[34xx][Security] TCP port 7547 is open on GW LAN global IPv6
QA6,[LGI][Language][Spanish]:String "c_53" always displaying in english  instead of Spanish language
QA6,Cannot replace the certificate into DUT.
QA6,"[Language][German]When testing 95578 7: LGI_GERMAN_Wireless wizard_001, it has 1 drop and 1 problem on Wireless wizard page. "
QA6,[Puma7] The default value of some tr181 parameters are not correct on TG3492.
QA2,[MASTER PUBLIC] [XREF 41144]: Remote CLI access has default login credential for non-Superuser
QA6,[LGI][UI]:Alignment issue observed in IPV6 port filtering table.
QA6,After clicked "CANCEL" button under "Parental Control > Managed Devices > Add Blocked Device " GUI page is not redirecting to "Parental Control > Managed Devices" Page
QA3&7,[RDKB][Dual-Band][Multi-SSID] Upstream UDP flows cause TG3442DE reboot with log "HW_MBOX_KERNEL_ERROR[hwMbox_sendOpcode:1877]: cid 7: timeout expired!" after clients connect to 2.4G and 5G band simultaneously
QA6, [IE V11] Displayed warning message is misaligned after selecting Security Mode as "open" for both 2.4 & 5GHz Home Wi-Fi Network
QA6, Configured Guest SSID name is overlapped with Wi-Fi icon under Gateway >Connection > WiFi > GUEST Wi-Fi Network  
